year,day_month,Company,Size in Kbyte,Cost in USD,Speed in nanosec,Memory Type,Ref,Page,JDR Chip Prices - Size Kbit,JDR Chip Prices - USD,JDR Chip Prices - nanosec
2020,Jan20,NewEgg.com,16777216,47.99,17-17-17-39,2x8 GB DIMM DDR4-2400 @ $47.99 + free shipping,Web,,OLOy,,
2020,Feb17,NewEgg.com,33554432,99.99,17-17-17-39,2x16 GB DIMM DDR4-2400 @ $99.99 + free shipping,Web,,OLOy,,
2020,Mar23,NewEgg.com,33554432,114.99,17-17-17-39,2x16 GB DIMM DDR4-2400 @ $114.99 + free shipping,Web,,OLOy,,
2020,Apr23,NewEgg.com,16777216,57.99,16-18-18-36,1x16 GB DIMM DDR4-3000 @ $57.99 + free shipping,Web,,OLOy,,
2020,May23,NewEgg.com,33554432,114.99,19-19-19-43,2x16 GB DIMM DDR4-2666 @ $114.99 + free shipping,Web,,G.Skill,,
2020,Jun21,NewEgg.com,33554432,104.99,15-15-15-39,2x16 GB DIMM DDR4-2400 @ $104.99 + free shipping,Web,,G.Skill X series,,
2020,Jul18,NewEgg.com,33554432,94.99,19-19-19-43,2x16 GB DIMM DDR4-2666 @ $94.99 + free shipping,Web,,G.Skill Aegis,,
2020,Aug19,NewEgg.com,33554432,89.99,22-22-22-52,1x32 GB DIMM DDR4-3200 @ $89.99 + free shipping,Web,,Team Elite,,
2020,Sep20,NewEgg.com,33554432,91.99,16-18-18-36,2x16 GB DIMM DDR4-2666 @ $91.99 + free shipping,Web,,OLOy,,
2020,Oct17,NewEgg.com,33554432,89.99,16-18-18-36,2x16 GB DIMM DDR4-3000 @ $89.99 + free shipping,Web,,GEIL Evo Potenza,,
2020,Nov19,NewEgg.com,33554432,94.99,20-22-22-46,2x16 GB DIMM DDR4-3200 @ $89.99 + free shipping,Web,,Team T-Force,,
2020,Dec21,NewEgg.com,33554432,97.99,16-18-18-38,2x16 GB DIMM DDR4-3000 @ $97.99 + free shipping,Web,,OLOy,,
2021,Feb14,NewEgg.com,33554432,109.99,16-18-18-38,2x16 GB DIMM DDR4-3000 @ $109.99 + free shipping,Web,,G.Skill Aegis,,
2021,Apr17,NewEgg.com,67108864,259.99,19-19-19-43,2x32 GB DIMM DDR4-2666 @ $259.99 + free shipping,Web,,G.Skill Value Series,,
2021,May17,NewEgg.com,67108864,229.99,19-19-19-43,2x32 GB DIMM DDR4-2666 @ $229.99 + free shipping,Web,,G.Skill Value Series,,
2021,Jul11,NewEgg.com,8388608,31.99,cas 11,1x8 GB DIMM DDR3-1600 @ $31.99 + free shipping,Web,,Patriot Signature Line,,
2021,Aug16,NewEgg.com,33554432,119.99,15-15-15-36,2x16 GB DIMM DDR4-2133 @ $119.99 + free shipping,Web,,G.Skill Ripjaws V,,
2021,Sep18,NewEgg.com,16777216,51.99,19-19-19-43,1x16 GB DIMM DDR4-2666 @ $51.99 + free shipping,Web,,G.Skill Aegis,,
2021,Oct20,NewEgg.com,16777216,48.99,17-17-17-39,1x16 GB DIMM DDR4-2400 @ $48.99 + free shipping,Web,,G.Skill Aegis,,
2021,Dec15,NewEgg.com,33554432,84.99,19-19-19-43,2x16 GB DIMM DDR4-2666 @ $84.99 + free shipping,Web,,G.Skill Aegis,,
2022,Jan19,NewEgg.com,33554432,92.99,19-19-19-43,2x16 GB DIMM DDR4-2666 @ $92.99 + free shipping,Web,,G.Skill Aegis,,
